Category,Sub Category,Ward Name
Solid Waste (Garbage) Related,Garbage dump,Yelachenahalli
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Kengeri
E khata / Khata services,Technical Issue In Ekhata,Arakere
Solid Waste (Garbage) Related,Garbage dump,Jeevanbhima Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,HAL Airport
Plastic,Use of banned single use plastic,Rajarajeshwari Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Vignana Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Hoysala Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Kushal Nagar
veterinary,Feeder Harassment  by Individual / Mob but no association,Vijanapura
Forest,obstructions Branches / Trees.,Jayangar
Solid Waste (Garbage) Related,Garbage dump,Vignana Nagar
Forest,Removal of dead/fallen trees,Rajamahal
Others,Others,Attiguppe
veterinary,Animal Rescue - Not well - Requires attention,Anjanapur
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Benniganahalli
Solid Waste (Garbage) Related,Garbage dump,HBR Layout
Health Dept,Increase in mosquito density,Attiguppe
Road Maintenance(Engg),footpath encroachment,C.V.Raman Nagar
Road Maintenance(Engg),Potholes,Attiguppe
Electrical,Street Light Not Working,Lingarajapuram
Forest,obstructions Branches / Trees.,Vidyapeetha
Road Maintenance(Engg),Road side drains,Kengeri
veterinary,Animal birth control/neutering of stray dogs,Attiguppe
Solid Waste (Garbage) Related,Garbage dump,Attiguppe
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Kumaraswamy Layout
Electrical,Street Light Not Working,Puttenahalli
Solid Waste (Garbage) Related,Garbage dump,Domlur
veterinary,Animal Rescue - Not well - Requires attention,HAL Airport
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,A.Narayanapura
E khata / Khata services,Khata / Ekhata mutation / transfer,Yelachenahalli
Town Planning,Construction not done as per approved plan (Building Bye Law Violations),Radhakrishna Temple
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Vishwanathnagenahalli
Solid Waste (Garbage) Related,Dead animal(s),Hoodi
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Kamakshipalya
Electrical,Street Light Not Working,Hosakerehalli
Forest,obstructions Branches / Trees.,Laggere
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Maruthi Mandira Ward
veterinary,Animal Rescue - Not well - Requires attention,Sampangiram Nagar
E khata / Khata services,Technical Issue In Ekhata,Sudduguntepalya
Solid Waste (Garbage) Related,Garbage dump,Bellandur
Electrical,Street Light Not Working,Adugodi
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Hemmigepura
Parks and Play grounds,Gym/Children Play equipment in the parks,Banaswadi
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Gottigere
veterinary,Animal Rescue - Not well - Requires attention,Shettyhalli
E khata / Khata services,Ekhata missing in online,Ramamurthy Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,HSR Layout
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Singasandra
Electrical,Street Light Not Working,H.M.T
Parks and Play grounds,Gym/Children Play equipment in the parks,Nagapura
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Nagavara
Road Infrastructure,Road Infrastructure,Hagadooru
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Manorayanapalya
veterinary,Feeder Harassment  by Individual / Mob but no association,Begur
E khata / Khata services,Technical Issue In Ekhata,Varthur
Electrical,Street Light Not Working,Doddabommasandra
Road Maintenance(Engg),Footpath,Newthippasandra
Forest,Removal of dead/fallen trees,Padmanabha Nagar
Road Maintenance(Engg),Road side drains,Hagadooru
E khata / Khata services,Ekhata - name correction,Devasandra
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Jayachamarajendra Nagar
Road Maintenance(Engg),Potholes,Jnanabharathi Ward
Road Maintenance(Engg),Road side drains,Jnanabharathi Ward
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Malleshwaram
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Moodalapalya
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Horamavu
Road Maintenance(Engg),footpath encroachment,Sri Rammandira
Sanitation,Public toilet(s) blockage,Sanjay Nagar
E khata / Khata services,Khata / Ekhata mutation / transfer,Gottigere
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Vidyaranyapura
Solid Waste (Garbage) Related,Garbage dump,Varthur
Road Maintenance(Engg),Road side drains,Begur
Forest,obstructions Branches / Trees.,Kacharakanahalli
Solid Waste (Garbage) Related,Garbage dump,Muneshwara Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Dattathreya Temple
E khata / Khata services,Ekhata missing in online,Kodigehalli
Solid Waste (Garbage) Related,Garbage dump,Koramangala
E khata / Khata services,Ekhata missing in online,Nayandanahalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Devasandra
Road Infrastructure,Road Infrastructure,Hemmigepura
Solid Waste (Garbage) Related,Sweeping not done,Ramamurthy Nagar
Electrical,Street Light Not Working,Shanthala Nagar
veterinary,Animal Rescue - Not well - Requires attention,Visvesvarapuram
veterinary,Animal Rescue - Not well - Requires attention,Yelachenahalli
Solid Waste (Garbage) Related,Garbage dump,Herohalli
veterinary,Stray dog related complaints,Kushal Nagar
Solid Waste (Garbage) Related,Garbage dump,Chokkasandra
Electrical,Requirement For New Street Lights,Vasanthapura
Forest,Removal of dead/fallen trees,Singasandra
Forest,obstructions Branches / Trees.,Kumaraswamy Layout
Road Maintenance(Engg),footpath encroachment,Agrahara Dasarahalli
Health Dept,Dengue positive,Newthippasandra
E khata / Khata services,Ekhata missing in online,Yelachenahalli
Electrical,Street Light Not Working,Vasanthapura
veterinary,Stray dog related complaints,Ganeshmandira Ward
Sanitation,Urination in Public/Open Defecation,Jnanabharathi Ward
Health Dept,Dengue positive,Bellandur
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Hagadooru
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Puttenahalli
Solid Waste (Garbage) Related,Garbage dump,Puttenahalli
Health Dept,Dengue positive,Okalipuram
Health Dept,Dengue positive,Hagadooru
Health Dept,Dengue positive,Lingarajapuram
Solid Waste (Garbage) Related,Garbage dump,Hoodi
Health Dept,Dengue positive,Mathikere
Health Dept,Dengue positive,Someshwara
Health Dept,Dengue positive,Garudacharpalya
Health Dept,Dengue positive,Madiwala
Information Technology,Others(Technical or Software Issues),Sampangiram Nagar
Health Dept,Dengue positive,Jayangar
E khata / Khata services,Technical Issue In Ekhata,Hagadooru
Health Dept,Dengue positive,Thanisandra
Information Technology,App Related Issues,Sampangiram Nagar
Health Dept,Dengue positive,Jakkur
Health Dept,Dengue positive,Vignana Nagar
E khata / Khata services,Ekhata - name correction,Gottigere
Health Dept,Dengue positive,Marathalli
Forest,obstructions Branches / Trees.,Ullalu
Solid Waste (Garbage) Related,Garbage dump,Hombegowda Nagar
Health Dept,Dengue positive,Lakkasandra
Solid Waste (Garbage) Related,Garbage dump,Jaraganahalli
Health Dept,Dengue positive,Hoodi
Road Maintenance(Engg),Potholes,Bommanahalli
Solid Waste (Garbage) Related,Garbage dump,Someshwara
Road Maintenance(Engg),Potholes,Sampangiram Nagar
Health Dept,Dengue positive,Byatarayanapura
Forest,Removal of dead/fallen trees,Herohalli
Solid Waste (Garbage) Related,Garbage dump,Shanthala Nagar
Health Dept,Dengue positive,Kadugodi
Forest,obstructions Branches / Trees.,Binnipet
Solid Waste (Garbage) Related,Garbage dump,Kacharakanahalli
Electrical,Street Light Not Working,Bilekahalli
Traffic Engineer Cell (TEC),TEC,Benniganahalli
Road Maintenance(Engg),water leakage on road,Cottonpet
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Giri Nagar
Solid Waste (Garbage) Related,Garbage dump,Newthippasandra
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Jakkur
E khata / Khata services,Ekhata missing in online,Sarakki
Solid Waste (Garbage) Related,Dead animal(s),Mangammanapalya
Solid Waste (Garbage) Related,Garbage dump,Nagapura
Road Maintenance(Engg),footpath encroachment,Hosahalli
E khata / Khata services,Khata / Ekhata mutation / transfer,Vidyaranyapura
Electrical,Street Light Not Working,HSR Layout
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Bilekahalli
Road Maintenance(Engg),Potholes,Shanthala Nagar
Forest,obstructions Branches / Trees.,Rajarajeshwari Nagar
Electrical,Street Light Not Working,Kadugondanahalli
E khata / Khata services,Technical Issue In Ekhata,Horamavu
Solid Waste (Garbage) Related,Garbage dump,Kodigehalli
Solid Waste (Garbage) Related,Garbage dump,Nandini Layout
Electrical,Street Light Not Working,Padmanabha Nagar
E khata / Khata services,Other Khata / ekhata issues,Doddanekkundi
Forest,Removal of dead/fallen trees,Radhakrishna Temple
E khata / Khata services,Ekhata missing in online,Hoysala Nagar
Electrical,Street Light Not Working,C.V.Raman Nagar
Electrical,Street Light Not Working,Attiguppe
Solid Waste (Garbage) Related,Garbage dump,Jayangar
Forest,Removal of dead/fallen trees,Hanumantha Nagar
E khata / Khata services,ekhata approval pending with ARO,Begur
Solid Waste (Garbage) Related,Garbage dump,Konanakunte
Health Dept,Increase in mosquito density,Sri Rammandira
Electrical,Street Light Not Working,Kottigepalya
E khata / Khata services,ekhata approval pending with ARO,Shankaramata
Health Dept,Unhygienic premises in Hotel etc,Doddanekkundi
Others,Others,Padmanabha Nagar
veterinary,Fatally injured - Needs immediate attention,Bagalagunte
E khata / Khata services,Other Khata / ekhata issues,Hemmigepura
Solid Waste (Garbage) Related,Dead animal(s),Arakere
Forest,obstructions Branches / Trees.,Nandini Layout
E khata / Khata services,Ekhata missing in online,Nagapura
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Yelachenahalli
Forest,obstructions Branches / Trees.,Sunkenahalli
Solid Waste (Garbage) Related,Sweeping not done,Uttarahalli
Road Maintenance(Engg),Road side drains,Bellandur
Road Maintenance(Engg),Road side drains,Dodda Bidarkallu
Forest,obstructions Branches / Trees.,Nagapura
Storm  Water Drain(SWD),Maintenance of SWD,Arakere
Solid Waste (Garbage) Related,Garbage dump,Singasandra
Advertisement,Flex and banners,Madiwala
Forest,Removal of dead/fallen trees,Mathikere
Forest,Removal of dead/fallen trees,Vidyapeetha
Solid Waste (Garbage) Related,Garbage dump,Deepanjali Nagar
Solid Waste (Garbage) Related,Garbage dump,Kadugondanahalli
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Jnanabharathi Ward
Electrical,Street Lights Switched On During Day Time,Byatarayanapura
E khata / Khata services,ekhata approval pending with ARO,Varthur
Road Maintenance(Engg),Road side drains,Shettyhalli
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Uttarahalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Kumaraswamy Layout
Electrical,Street Light Not Working,Konanakunte
Road Maintenance(Engg),Potholes,Konanakunte
Solid Waste (Garbage) Related,Garbage dump,Garudacharpalya
E khata / Khata services,ekhata approval pending with ARO,Bellandur
Road Maintenance(Engg),Potholes,Sudam Nagar
Solid Waste (Garbage) Related,Dead animal(s),Binnipet
Solid Waste (Garbage) Related,Garbage dump,Shettyhalli
Solid Waste (Garbage) Related,Garbage dump,Rajarajeshwari Nagar
veterinary,Anti Rabies Vaccination of stray dogs,Newthippasandra
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Herohalli
Solid Waste (Garbage) Related,Garbage dump,Yadiyuru
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Padmanabha Nagar
Electrical,Street Lights Switched On During Day Time,Gayathri Nagar
Solid Waste (Garbage) Related,Public dustbins not cleaned,Rajarajeshwari Nagar
Solid Waste (Garbage) Related,Dead animal(s),Gandhi Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Vishwanathnagenahalli
E khata / Khata services,Other Khata / ekhata issues,Anjanapur
Electrical,Street Light Not Working,Kadugodi
Solid Waste (Garbage) Related,Garbage dump,Devasandra
Advertisement,Flex and banners,Jnanabharathi Ward
veterinary,Anti Rabies Vaccination of stray dogs,Doddanekkundi
Forest,Removal of dead/fallen trees,Katriguppe
Solid Waste (Garbage) Related,Garbage dump,Katriguppe
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Ulsoor
Advertisement,Flex and banners,Banashankari Temple Ward
Solid Waste (Garbage) Related,Garbage dump,Cottonpet
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Byrasandra
veterinary,Stray/Rabid dog bite,Chikpete
Solid Waste (Garbage) Related,Garbage dump,Jagajeevanram Nagar
